date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2024-12-04|10:40:50|birthday|sis|200.0
2025-01-12|06:50:32|food|UberEats|-50.0
2025-12-15|15:34:56|Sephora|BECU|-800.0
2024-12-12|10:30:20|water|home|10.0
2024-11-22|13:30:00|Internet bill|Xfinity|-80.00
2023-12-10|17:00:45|Holiday bonus|Employer Inc.|500.00
2025-05-05|10:10:10|Phone bill|Verizon|-60.00
2025-06-14|18:35:25|Ice cream with friends|Cold Stone|-18.40
2025-07-01|09:00:00|Paycheck|Employer Inc.|3200.00
2025-07-04|20:45:00|4th of July BBQ|Safeway|-94.30
2025-07-15|13:12:55|Water bill|Seattle Utilities|-45.50
2025-08-02|07:45:00|Farmer’s market veggies|Local Vendor|-22.10
2025-08-15|14:30:00|Scholarship fund|School|1500.00
2025-09-09|21:00:00|Late-night pizza|Domino’s|-25.00
2025-09-28|16:20:15|Gas station|Chevron|-40.00
2025-10-10|11:00:00|Clothing|Uniqlo|-150.00

